Actual_RUL,LSTM,GRU,Final_Prediction,Status
0.624,0.69707584,0.7381965,0.7381965,Healthy
0.912,0.619612,0.5547938,0.5547938,Warning
0.768,0.8289825,0.7524208,0.7524208,Healthy
0.08,0.23863651,0.22065943,0.22065943,Critical
1.0,0.89218664,0.9089245,0.9089245,Healthy
1.0,0.8948705,0.9092151,0.9092151,Healthy
0.92,0.89462245,0.909168,0.909168,Healthy
0.56,0.54434764,0.6161326,0.6161326,Healthy
0.752,0.8756008,0.9060729,0.9060729,Healthy
0.448,0.64913,0.8691366,0.8691366,Healthy
0.688,0.53788847,0.66352,0.66352,Healthy
0.768,0.6370345,0.56138265,0.56138265,Warning
0.4,0.5193235,0.40937096,0.40937096,Warning
0.584,0.70820856,0.71479285,0.71479285,Healthy
1.0,0.8939551,0.9092168,0.9092168,Healthy
1.0,0.87860274,0.8951474,0.8951474,Healthy
1.0,0.77113384,0.8550615,0.8550615,Healthy
0.568,0.7111603,0.5961414,0.5961414,Warning
0.84,0.5037829,0.8916242,0.8916242,Healthy
0.904,0.8349316,0.90612465,0.90612465,Healthy
0.296,0.36663973,0.4174874,0.4174874,Warning
0.056,0.23639011,0.18671736,0.18671736,Critical
0.104,0.27861366,0.22393912,0.22393912,Critical
0.176,0.19579202,0.19958873,0.19958873,Critical
0.072,0.2896769,0.20135733,0.20135733,Critical
0.96,0.89508975,0.9091145,0.9091145,Healthy
0.8,0.6109024,0.5766215,0.5766215,Warning
0.856,0.6854564,0.6378556,0.6378556,Healthy
0.328,0.53545237,0.43792737,0.43792737,Warning
1.0,0.87731993,0.8451718,0.8451718,Healthy
1.0,0.89009,0.9074023,0.9074023,Healthy
0.472,0.42490748,0.45006132,0.45006132,Warning
0.144,0.2552646,0.3183253,0.3183253,Warning
0.528,0.6681287,0.6234701,0.6234701,Healthy
0.104,0.29596075,0.20685455,0.20685455,Critical
0.112,0.32116047,0.23654413,0.23654413,Critical
1.0,0.8931242,0.9087186,0.9087186,Healthy
0.104,0.22893214,0.2501083,0.2501083,Critical
0.6,0.6909008,0.6343296,0.6343296,Healthy
0.064,0.28180712,0.24897274,0.24897274,Critical
0.872,0.40263945,0.46194372,0.46194372,Warning
1.0,0.63685536,0.6109364,0.6109364,Healthy
0.328,0.44945377,0.28862223,0.28862223,Critical
1.0,0.8942225,0.9088864,0.9088864,Healthy
0.184,0.42760044,0.48172694,0.48172694,Warning
0.688,0.6677487,0.6582695,0.6582695,Healthy
0.12,0.26696652,0.2483772,0.2483772,Critical
1.0,0.70592904,0.8769078,0.8769078,Healthy
1.0,0.8901423,0.9070692,0.9070692,Healthy
0.96,0.8849455,0.8988796,0.8988796,Healthy
1.0,0.8596647,0.90765136,0.90765136,Healthy
0.808,0.5100507,0.905374,0.905374,Healthy
0.928,0.83011484,0.8286226,0.8286226,Healthy
1.0,0.894884,0.90894955,0.90894955,Healthy
0.288,0.33312735,0.4499151,0.4499151,Warning
0.056,0.17821246,0.16737735,0.16737735,Critical
0.976,0.84183717,0.9066814,0.9066814,Healthy
1.0,0.51269716,0.7140615,0.7140615,Healthy
0.704,0.83814037,0.67269903,0.67269903,Healthy
1.0,0.89111173,0.6189191,0.6189191,Healthy
1.0,0.8887944,0.90706503,0.90706503,Healthy
0.864,0.8924979,0.90418,0.90418,Healthy
0.424,0.4353871,0.4356585,0.4356585,Warning
1.0,0.8734757,0.774389,0.774389,Healthy
0.472,0.46526068,0.46591794,0.46591794,Warning
0.8,0.8937149,0.9089881,0.9089881,Healthy
0.448,0.5248142,0.5286337,0.5286337,Warning
1.0,0.88819826,0.9079251,0.9079251,Healthy
0.608,0.6972655,0.6884423,0.6884423,Healthy
0.456,0.4477697,0.44901675,0.44901675,Warning
0.248,0.27501792,0.2560042,0.2560042,Critical
0.704,0.8910792,0.90033287,0.90033287,Healthy
1.0,0.619061,0.7701783,0.7701783,Healthy
0.272,0.36730427,0.37952572,0.37952572,Warning
0.056,0.2931944,0.16660517,0.16660517,Critical
1.0,0.8952552,0.79351664,0.79351664,Healthy
0.048,0.25558484,0.2016753,0.2016753,Critical
0.176,0.26688272,0.25703666,0.25703666,Critical
0.664,0.8923452,0.89539856,0.89539856,Healthy
0.656,0.8941369,0.909179,0.909179,Healthy
0.672,0.48789653,0.5631626,0.5631626,Warning
0.76,0.5652139,0.7383791,0.7383791,Healthy
0.888,0.8948921,0.90780276,0.90780276,Healthy
0.576,0.6976702,0.61517113,0.61517113,Healthy
0.872,0.778504,0.812374,0.812374,Healthy
0.696,0.68206,0.7112347,0.7112347,Healthy
1.0,0.7698686,0.9073659,0.9073659,Healthy
1.0,0.8900224,0.9074774,0.9074774,Healthy
1.0,0.7746445,0.73444813,0.73444813,Healthy
0.096,0.34748998,0.31241816,0.31241816,Warning
0.064,0.21695964,0.16712779,0.16712779,Critical
0.08,0.30478525,0.21319203,0.21319203,Critical
0.984,0.88228285,0.9054115,0.9054115,Healthy
0.824,0.7532747,0.77608013,0.77608013,Healthy
0.096,0.4170858,0.28934473,0.28934473,Critical
0.848,0.8930663,0.83977515,0.83977515,Healthy
0.096,0.23881163,0.2261408,0.2261408,Critical
0.256,0.2870816,0.30126682,0.30126682,Warning
0.296,0.26897997,0.25577134,0.25577134,Critical
0.928,0.893783,0.90968513,0.90968513,Healthy
0.12,0.29111466,0.23956941,0.23956941,Critical
0.08,0.23122723,0.22825135,0.22825135,Critical
0.368,0.46841812,0.39840883,0.39840883,Warning
1.0,0.72317123,0.836208,0.836208,Healthy
0.192,0.46461105,0.3362017,0.3362017,Warning
1.0,0.8685347,0.9062491,0.9062491,Healthy
0.448,0.75616276,0.659349,0.659349,Healthy
0.344,0.59995055,0.69071245,0.69071245,Healthy
1.0,0.8922461,0.9095365,0.9095365,Healthy
0.568,0.7722297,0.6691664,0.6691664,Healthy
0.832,0.85395896,0.55828935,0.55828935,Warning
0.12,0.28070563,0.26563776,0.26563776,Critical
1.0,0.8945162,0.9083863,0.9083863,Healthy
0.712,0.6506479,0.6518597,0.6518597,Healthy
0.288,0.37329805,0.42255306,0.42255306,Warning
0.088,0.26030156,0.19855733,0.19855733,Critical
0.736,0.7028893,0.6797756,0.6797756,Healthy
0.768,0.52496237,0.74214506,0.74214506,Healthy
0.472,0.8314048,0.9037657,0.9037657,Healthy
0.104,0.19969909,0.2036483,0.2036483,Critical
1.0,0.89504135,0.9088518,0.9088518,Healthy
1.0,0.89250994,0.9070443,0.9070443,Healthy
0.872,0.891678,0.90929675,0.90929675,Healthy
0.928,0.89060915,0.8199276,0.8199276,Healthy
0.728,0.8494315,0.8360949,0.8360949,Healthy
0.088,0.29710364,0.25439405,0.25439405,Critical
0.704,0.49964112,0.8646896,0.8646896,Healthy
0.864,0.89369893,0.9084435,0.9084435,Healthy
0.608,0.6110157,0.6409509,0.6409509,Healthy
0.112,0.27392325,0.22303589,0.22303589,Critical
0.712,0.46535897,0.622599,0.622599,Healthy
1.0,0.8803264,0.90762275,0.90762275,Healthy
0.136,0.24420328,0.20968013,0.20968013,Critical
0.528,0.5629701,0.5504756,0.5504756,Warning
1.0,0.8350811,0.90182906,0.90182906,Healthy
0.328,0.57198477,0.30595058,0.30595058,Warning
1.0,0.78271747,0.8679196,0.8679196,Healthy
0.584,0.7813027,0.58483905,0.58483905,Warning
0.312,0.40293783,0.48168683,0.48168683,Warning
0.464,0.4151207,0.32723096,0.32723096,Warning
0.112,0.35522768,0.23440497,0.23440497,Critical
1.0,0.8354722,0.90851927,0.90851927,Healthy
0.704,0.82542515,0.9058467,0.9058467,Healthy
1.0,0.78510773,0.90114635,0.90114635,Healthy
1.0,0.8956125,0.9092864,0.9092864,Healthy
0.784,0.59448874,0.7747474,0.7747474,Healthy
0.264,0.42251933,0.36428744,0.36428744,Warning
1.0,0.8878597,0.908176,0.908176,Healthy
0.88,0.6205125,0.7028586,0.7028586,Healthy
0.544,0.53743863,0.48370922,0.48370922,Warning
0.192,0.29203343,0.2897106,0.2897106,Critical
0.6,0.76414514,0.8917645,0.8917645,Healthy
0.144,0.35555026,0.23436074,0.23436074,Critical
0.128,0.2454916,0.21756177,0.21756177,Critical
0.784,0.3258137,0.36583698,0.36583698,Warning
1.0,0.8320601,0.9044081,0.9044081,Healthy
0.648,0.88822126,0.6655639,0.6655639,Healthy
0.944,0.8948152,0.79135764,0.79135764,Healthy
0.28,0.33991554,0.34186667,0.34186667,Warning
1.0,0.89202905,0.90669614,0.90669614,Healthy
0.896,0.6302407,0.77923656,0.77923656,Healthy
0.208,0.2749281,0.22511806,0.22511806,Critical
